"en","yor","pos","description"
"100th","Ọgọ́rùn-ún","numeral","Ordinal for one hundred."
"100th release","Ìtújáde Ọgọ́rùn-ún","noun phrase","The one hundredth version of a software release."
"100th release gutenberg","Ìtújáde Gutenberg ẹlẹ́ẹ̀kẹ́ẹ̀rìnléọgọ́rùn-ún","noun phrase","The 100th release of Gutenberg."
"20th","Ogun","numeral","Ordinal for twenty."
"3rd","Ẹkẹta","numeral","Ordinal for three."
"3rd-party","Alágbàtakò Kẹta","adj/noun","Relating to a person/group besides the two primarily involved."
"3rd-party website","Ìkànnì Alágbàtakò Kẹta","noun phrase","A website operated by a third party."
"3rd-party website please","Ìkànnì Alágbàtakò Kẹta Jọ̀wọ́","phrase","Request related to a third-party website."
"5-minute","Ìṣẹ́jú Márùn-ún","adj/noun phrase","Lasting for five minutes."
"5th","Ẹkarùn-ún","numeral","Ordinal for five."
"7-day","Ọjọ́ Méje","adj/noun phrase","Lasting for seven days."
"7-day retention","Ìpamọ́fún ọjọ́ Méje","noun phrase","Keeping something for seven days."
"7-day retention period","Àkókò Ìpamọ́fún ọjọ́ Méje","noun phrase","The specific duration of seven days for retention."
"a-z","a-z","noun","Range of lowercase English letters."
"a-z numbers","a-z àti àwọn nọ́mbà","noun phrase","Referring to lowercase letters and numbers."
"aa","aa","noun/abbr","(Needs context, could be part of WCAG AA standard)"
"aa atag","aa atag","noun","(Related to accessibility standards)"
"aa atag conformance","aa atag ìbámu","noun phrase","Adherence to AA and ATAG accessibility standards."
"ability","Agbára","noun","The power or capacity to do or act."
"able","Lè","verb/adj","Having the power, skill, means to do something."
"able crop","Lè Gé","verb phrase","Capable of cropping."
"able crop image","Lè Gé Àwòrán","verb phrase","Capable of cropping an image."
"able edit","Lè Ṣàtúnṣe","verb phrase","Capable of editing."
"able edit posts","Lè Ṣàtúnṣe Àwọn Àtẹ̀jáde","verb phrase","Capable of editing posts."
"able quickly","Lè Kíákíá","verb phrase","Capable of doing something quickly."
"able quickly easily","Lè Kíákíá àti Ní Ìrọ̀rùn","verb phrase","Capable of doing something quickly and easily."
"able write","Lè Kọ̀wé","verb phrase","Capable of writing."
"able write without","Lè Kọ̀wé Láìsí","verb phrase","Capable of writing without something."
"abstract","Àkópọ̀ Ojúkòkòrò","noun/adj","A summary or an idea not having physical existence."
"accept","Gbà","verb","To consent to receive or undertake."
"accept declaration","Gbà Àsọyé","verb phrase","To agree to a formal statement."
"accept declaration request","Gbà Ìbéèrè Àsọyé","verb phrase","To agree to a request for a declaration."
"acceptance","Ìtẹ́wọ́gbà","noun","The action of consenting to receive."
"acceptance change","Ìtẹ́wọ́gbà Àyípadà","noun phrase","Acceptance of a change."
"accepted","ti gbà","verb/adj","Generally approved or agreed upon."
"accepting","ń gbà","verb (gerund/present participle)","The process of receiving or agreeing."
"accepting plugins","Ń Gbà Àwọn Plugin","verb phrase","The act of allowing or receiving plugins."
"accepting plugins nature","Ń Gbà Irú Àwọn Plugin","verb phrase","Accepting plugins of a certain type or character."
"accepts","Ń Gbà","verb","Third-person singular present tense of accept."
"accepts csv","Ń Gbà CSV","verb phrase","Accepts files in CSV format."
"access","[Yoruba for: access]","noun",""
"access account","[yor:access] [yor:account]","noun",""
"access block","[yor:access] Àkójọpọ̀","noun",""
"access block document","[yor:access] Àkójọpọ̀ [yor:document]","noun",""
"access common","[yor:access] [yor:common]","noun",""
